No;lokasi;kamar_tidur;kamar_mandi;luas_rumah;luas_tanah;harga;jenis_rumah
226;Sawangan;3;1;45;70;300000000;Sederhana
227;Cipayung;2;1;45;72;350000000;Sederhana
228;Pancoran Mas;2;2;50;76;735000000;Sederhana
229;Tapos;2;2;120;90;915000000;Menengah
230;Beji;2;2;88;49;695000000;Sederhana
231;Sawangan;2;1;40;66;295000000;Sederhana
232;Sukmajaya;2;1;90;90;450000000;Menengah
233;Beji;3;3;86;60;950000000;Sederhana
234;Pancoran Mas;3;2;80;105;675000000;Menengah
235;Cimanggis;4;3;75;75;815000000;Sederhana
236;Pancoran Mas;3;2;97;100;370000000;Menengah
237;Sawangan;4;4;150;200;1600000000;Menengah
238;Cilodong;3;2;60;60;750000000;Sederhana
239;Beji;3;2;85;50;450000000;Sederhana
240;Sawangan;4;2;146;250;1400000000;Mewah
241;Sawangan;3;3;100;120;950000000;Menengah
242;Pancoran Mas;2;1;42;65;459000000;Sederhana
243;Pancoran Mas;2;1;40;90;810000000;Menengah
244;Pancoran Mas;4;3;168;220;1500000000;Mewah
245;Cilodong;3;2;140;77;1000000000;Sederhana
246;Tapos;5;3;200;278;1400000000;Mewah
247;Sawangan;2;1;60;125;800000000;Menengah
248;Sawangan;2;1;57;127;650000000;Menengah
249;Sawangan;3;2;115;134;1100000000;Menengah
250;Cimanggis;2;1;30;65;508000000;Sederhana
251;Pancoran Mas;3;2;80;90;625000000;Menengah
252;Pancoran Mas;2;1;40;60;450000000;Sederhana
253;Sawangan;3;2;97;120;985000000;Menengah
254;Sawangan;6;2;100;309;1300000000;Mewah
255;Pancoran Mas;3;2;72;7000000;900000000;Mewah
256;Sawangan;3;2;86;75;715000000;Sederhana
257;Sukmajaya;3;2;150;90;680000000;Menengah
258;Beji;3;3;90;81;1143300000;Menengah
259;Beji;3;2;150;180;950000000;Menengah
260;Beji;3;3;115;89;1250000000;Menengah
261;Beji;6;4;300;250;1800000000;Mewah
262;Beji;3;2;78;60;750000000;Sederhana
263;Cimanggis;2;1;30;52;257000000;Sederhana
264;Beji;2;1;45;72;750000000;Sederhana
265;Sukmajaya;2;1;90;90;450000000;Menengah
266;Pancoran Mas;2;1;44;77;539000000;Sederhana
267;Beji;5;2;90;109;950000000;Menengah
268;Cilodong;2;2;90;72;425000000;Sederhana
269;Beji;2;1;45;70;680000000;Sederhana
270;Beji;4;3;120;104;1185000000;Menengah
271;Pancoran Mas;2;1;36;72;397000000;Sederhana
272;Beji;4;2;170;210;850000000;Mewah
273;Sukmajaya;2;1;45;72;550000000;Sederhana
274;Pancoran Mas;4;3;100;72;895000000;Sederhana
275;Sawangan;2;1;36;60;200000000;Sederhana
276;Sawangan;3;2;100;140;950000000;Menengah
277;Bojongsari;4;4;200;296;1300000000;Mewah
278;Sukmajaya;2;2;140;113;980000000;Menengah
279;Sukmajaya;3;3;130;130;750000000;Menengah
280;Beji;2;1;45;72;750000000;Sederhana
281;Beji;4;4;147;122;1850000000;Menengah
282;Cinere;6;6;1000;975;10000000000;Mewah
283;Cimanggis;3;2;110;60;720000000;Sederhana
284;Beji;3;3;136;127;1250000000;Menengah
285;Sukmajaya;3;2;150;90;680000000;Menengah
286;Cimanggis;4;2;120;229;850000000;Mewah
287;Beji;14;0;101;183;1350000000;Menengah
288;Beji;3;3;120;85;925000000;Menengah
289;Pancoran Mas;2;1;45;52;255000000;Sederhana
290;Pancoran Mas;3;2;96;96;450000000;Menengah
291;Beji;2;2;80;90;700000000;Menengah
292;Bojongsari;1;1;24;24;225000000;Sederhana
293;Sawangan;2;1;40;60;295000000;Sederhana
294;Cimanggis;7;6;800;1450;7500000000;Mewah
295;Pancoran Mas;2;1;40;72;394000000;Sederhana
296;Pancoran Mas;2;1;50;70;350000000;Sederhana
297;Pancoran Mas;2;1;50;73;385000000;Sederhana
298;Bojongsari;2;1;45;60;295000190;Sederhana
299;Sawangan;2;1;40;55;260000000;Sederhana
300;Sukmajaya;3;1;75;90;365000000;Menengah
301;Sukmajaya;3;2;65;85;685000000;Menengah
302;Cimanggis;3;2;69;82;992000000;Menengah
303;Pancoran Mas;3;2;250;510;3850000000;Mewah
304;Cilodong;2;1;32;60;280000000;Sederhana
305;Cipayung;2;1;36;68;293000000;Sederhana
306;Sukmajaya;4;2;160;160;1450000000;Menengah
307;Cipayung;2;1;45;60;320000000;Sederhana
308;Cipayung;2;2;46;37;484000000;Sederhana
309;Pancoran Mas;2;1;40;60;375000000;Sederhana
310;Cimanggis;3;3;70;44;686000000;Sederhana
311;Beji;3;3;170;191;1500000000;Menengah
312;Cipayung;2;1;40;60;270000000;Sederhana
313;Pancoran Mas;2;1;45;45;165000000;Sederhana
314;Pancoran Mas;3;2;160;216;700000000;Mewah
315;Cilodong;2;2;45;84;520000000;Menengah
316;Beji;3;3;110;67;1100000000;Sederhana
317;Cimanggis;5;5;400;275;2500000000;Mewah
318;Cinere;3;2;115;105;1400000000;Menengah
319;Cimanggis;4;2;140;290;800000000;Mewah
320;Pancoran Mas;3;2;120;78;875000000;Sederhana
321;Cinere;3;3;350;400;5500000000;Mewah
322;Cilodong;2;2;78;78;480000000;Sederhana
323;Pancoran Mas;2;1;40;60;255000000;Sederhana
324;Beji;2;2;50;54;845000000;Sederhana
325;Cinere;3;3;150;97;1450000000;Menengah
326;Beji;3;3;110;70;975000000;Sederhana
327;Sukmajaya;2;2;65;83;550000000;Menengah
328;Pancoran Mas;2;1;54;100;370000000;Menengah
329;Sukmajaya;2;1;90;90;450000000;Menengah
330;Sukmajaya;2;1;90;90;550000000;Menengah
331;Beji;0;0;300;255;2500000000;Mewah
332;Pancoran Mas;3;1;70;230;800000000;Mewah
333;Cinere;3;3;130;90;1300000000;Menengah
334;Sukmajaya;2;1;40;80;298000000;Menengah
335;Sukmajaya;3;1;70;97;485000000;Menengah
336;Sawangan;2;2;36;60;295000000;Sederhana
337;Cimanggis;2;2;60;105;220000000;Menengah
338;Beji;3;3;150;117;1500000000;Menengah
339;Sawangan;3;2;100;100;385000000;Menengah
340;Cinere;7;5;550;1135;9000000000;Mewah
341;Beji;4;3;230;137;950000000;Menengah
342;Pancoran Mas;2;1;55;60;290000000;Sederhana
343;Beji;2;1;80;111;860000000;Menengah
344;Sukmajaya;2;1;90;96;400000000;Menengah
345;Beji;3;2;300;567;4000000000;Mewah
346;Cilodong;5;4;400;282;8000000000;Mewah
347;Pancoran Mas;2;1;45;73;620000000;Sederhana
348;Cimanggis;2;1;36;72;495000000;Sederhana
349;Pancoran Mas;2;1;45;72;500000000;Sederhana
