No;lokasi;kamar_tidur;kamar_mandi;luas_rumah;luas_tanah;harga;jenis_rumah
619;Bojongsari;2;1;50;87;601000000;Menengah
620;Sukmajaya;4;2;124;124;800000000;Menengah
621;Cimanggis;2;1;36;84;228080000;Menengah
622;Cilodong;3;2;120;60;600000000;Sederhana
623;Cimanggis;8;6;800;1450;7500000000;Mewah
624;Cimanggis;9;10;700;2000;9500000000;Mewah
625;Cilodong;3;2;72;77;1200000000;Sederhana
626;Bojongsari;2;1;36;72;385000000;Sederhana
627;Pancoran Mas;2;1;40;61;450000000;Sederhana
628;Sukmajaya;4;2;90;90;650000000;Menengah
629;Sawangan;2;1;60;90;500000000;Menengah
630;Cimanggis;3;2;150;75;1100000000;Sederhana
631;Cimanggis;3;2;150;75;1100000000;Sederhana
632;Sawangan;4;2;152;183;1100000000;Menengah
633;Cimanggis;3;1;85;114;475000000;Menengah
634;Cimanggis;6;5;679;1024;4888000000;Mewah
635;Tapos;2;2;45;61;691000000;Sederhana
636;Pancoran Mas;2;1;36;50;360000000;Sederhana
637;Cinere;3;4;340;240;4600000000;Mewah
638;Beji;2;1;36;78;698586780;Sederhana
639;Beji;2;1;60;80;700000000;Menengah
640;Pancoran Mas;2;1;45;63;460000000;Sederhana
641;Beji;7;3;240;166;1700000000;Menengah
642;Sawangan;3;2;70;72;498000000;Sederhana
643;Beji;2;1;50;63;625000000;Sederhana
644;Cimanggis;3;2;80;152;850000000;Menengah
645;Cimanggis;3;2;150;331;1350000000;Mewah
646;Cimanggis;2;1;54;95;669509000;Menengah
647;Sukmajaya;4;1;90;90;400000000;Menengah
648;Beji;2;1;43;51;547000000;Sederhana
649;Cimanggis;2;1;45;67;400000000;Sederhana
650;Cinere;3;3;76;60;962000000;Sederhana
651;Cinere;2;1;59;91;670000000;Menengah
652;Sawangan;3;2;68;74;500000000;Sederhana
653;Pancoran Mas;3;2;105;89;980000000;Menengah
654;Pancoran Mas;4;2;120;90;880000000;Menengah
655;Pancoran Mas;2;1;36;51;295000000;Sederhana
656;Beji;2;1;45;75;570000000;Sederhana
657;Beji;2;1;45;70;650000000;Sederhana
658;Sukmajaya;3;1;55;90;700000000;Menengah
659;Beji;3;2;130;85;925000000;Menengah
660;Cinere;2;1;40;62;350000000;Sederhana
661;Beji;2;1;42;59;649500000;Sederhana
662;Sukmajaya;2;1;120;271;1100000000;Mewah
663;Sukmajaya;3;1;90;90;500000000;Menengah
664;Sawangan;2;1;40;112;232000000;Menengah
665;Cimanggis;2;1;36;50;259000000;Sederhana
666;Sukmajaya;3;1;55;90;700000000;Menengah
667;Cinere;2;1;40;62;350000000;Sederhana
668;Cipayung;2;1;45;90;380000000;Menengah
669;Cilodong;2;1;39;65;400000000;Sederhana
670;Sawangan;2;1;30;61;298000000;Sederhana
671;Beji;2;1;45;70;610000000;Sederhana
672;Sukmajaya;4;2;124;124;800000000;Menengah
673;Cimanggis;3;2;60;83;736000000;Menengah
674;Bojongsari;3;2;68;70;472000000;Sederhana
675;Beji;2;1;45;90;850000000;Menengah
676;Pancoran Mas;2;2;90;103;900000000;Menengah
677;Pancoran Mas;2;1;45;75;400000000;Sederhana
678;Beji;2;2;105;102;1250000000;Menengah
679;Sukmajaya;4;3;160;160;1450000000;Menengah
680;Cimanggis;6;2;92;46;250000000;Sederhana
681;Sawangan;2;1;45;90;504693698;Menengah
682;Sukmajaya;6;5;199;274;1900000000;Mewah
683;Cimanggis;2;1;36;50;254000000;Sederhana
684;Beji;4;3;130;150;2000000000;Menengah
685;Pancoran Mas;2;1;36;60;310000000;Sederhana
686;Beji;2;1;80;234;1200000000;Mewah
687;Bojongsari;1;1;21;40;195000000;Sederhana
688;Bojongsari;2;1;36;63;375000000;Sederhana
689;Pancoran Mas;4;4;712;693;5000000000;Mewah
690;Beji;3;2;50;85;850000000;Menengah
691;Beji;3;3;86;60;950000000;Sederhana
692;Beji;3;2;100;85;950000000;Menengah
693;Sawangan;0;0;70;84;670000000;Menengah
694;Pancoran Mas;2;1;45;60;300000000;Sederhana
695;Beji;10;4;510;510;3800000000;Mewah
696;Cimanggis;3;2;40;45;398500000;Sederhana
697;Cimanggis;3;2;96;60;666000000;Sederhana
698;Cinere;2;1;45;92;618183000;Menengah
699;Cinere;4;4;300;700;2200000000;Mewah
700;Sukmajaya;2;2;140;113;1200000000;Menengah
701;Cimanggis;3;3;100;85;1200000000;Menengah
702;Cilodong;2;1;45;84;570000000;Menengah
703;Sukmajaya;2;1;60;100;725000000;Menengah
704;Cilodong;3;2;150;208;950000000;Mewah
705;Cimanggis;0;0;36;60;300000000;Sederhana
706;Pancoran Mas;2;1;70;105;750000000;Menengah
707;Sawangan;2;2;42;60;500000000;Sederhana
708;Sukmajaya;3;2;60;55;495000000;Sederhana
709;Cilodong;2;1;38;60;398200000;Sederhana
710;Beji;2;1;70;80;650000000;Menengah
711;Beji;4;3;120;84;850000000;Menengah
712;Sukmajaya;4;5;276;138;1200000000;Menengah
713;Sukmajaya;3;2;124;93;1200000000;Menengah
714;Sukmajaya;3;2;86;90;800000000;Menengah
715;Cimanggis;2;1;36;70;220000000;Sederhana
716;Cimanggis;3;2;70;70;765000000;Sederhana
717;Cimanggis;2;1;30;52;257000000;Sederhana
718;Cimanggis;8;7;800;1450;7500000000;Mewah
719;Cimanggis;2;2;64;107;665000000;Menengah
720;Pancoran Mas;2;1;50;120;500000000;Menengah
721;Cilodong;3;1;142;86;900000000;Menengah
722;Sawangan;3;3;250;271;1200000000;Mewah
723;Cinere;4;3;400;325;3500000000;Mewah
724;Cilodong;3;2;70;66;750000000;Sederhana
725;Pancoran Mas;2;1;36;60;285000000;Sederhana
726;Cinere;3;2;250;160;2700000000;Menengah
727;Cimanggis;3;2;110;70;635000000;Sederhana
728;Sawangan;3;2;100;120;850000000;Menengah
729;Cinere;3;2;73;60;1270000000;Sederhana
730;Beji;3;2;65;98;750000000;Menengah
731;Cimanggis;2;1;36;50;252000000;Sederhana
732;Beji;3;3;120;98;1300000000;Menengah
733;Tapos;6;7;287;500;5500000000;Mewah
734;Pancoran Mas;2;1;55;60;250000000;Sederhana
735;Beji;2;1;43;66;598000000;Sederhana
736;Sawangan;2;1;70;90;260000000;Menengah
737;Beji;3;2;100;81;1200000000;Menengah
738;Bojongsari;2;1;52;68;338000000;Sederhana
739;Cinere;3;3;120;120;2000000000;Menengah
740;Cinere;3;2;100;72;750000000;Sederhana
741;Bojongsari;2;1;45;48;160000000;Sederhana
742;Cinere;2;1;70;3;600000000;Sederhana
743;Sukmajaya;3;2;94;115;950000000;Menengah
744;Cilodong;3;2;60;70;400000000;Sederhana
745;Pancoran Mas;3;2;70;80;650000000;Menengah
746;Beji;2;1;108;141;1200000000;Menengah
747;Cinere;2;1;49;76;600000000;Sederhana
748;Sukmajaya;4;3;160;102;1100000000;Menengah
749;Pancoran Mas;0;0;0;0;1190923194;Sederhana
750;Cipayung;0;0;30;65;295000000;Sederhana
751;Cilodong;2;1;30;33;165000000;Sederhana
752;Pancoran Mas;3;3;187;180;2900000000;Menengah
753;Cinere;3;2;100;227;4000000000;Mewah
754;Sawangan;3;2;56;61;498500000;Sederhana
755;Sawangan;4;2;126;480;1310000000;Mewah
756;Pancoran Mas;5;3;220;300;2200000000;Mewah
757;Pancoran Mas;2;1;42;75;529000000;Sederhana
758;Sukmajaya;3;3;150;100;1200000000;Menengah
759;Sukmajaya;13;13;1680;2103;20000000000;Mewah
760;Sawangan;2;1;45;90;678000000;Menengah
761;Cinere;2;1;70;60;500000000;Sederhana
762;Beji;3;2;66;66;868000000;Sederhana
763;Beji;3;2;120;163;1350000000;Menengah
764;Sukmajaya;3;2;60;92;765000000;Menengah
765;Sukmajaya;2;1;90;90;450000000;Menengah
766;Beji;5;4;170;220;3200000000;Mewah
767;Cilodong;4;3;120;200;1300000000;Menengah
768;Cimanggis;2;1;22;61;194800000;Sederhana
769;Beji;3;1;88;88;320000000;Menengah
770;Pancoran Mas;2;1;36;61;475;Sederhana
771;Pancoran Mas;3;3;114;84;1200000000;Menengah
772;Sawangan;2;1;46;100;375000000;Menengah
773;Cinere;3;2;65;70;850000000;Sederhana
774;Pancoran Mas;2;1;45;1;270000000;Sederhana
775;Sukmajaya;7;6;322;488;5000000000;Mewah
776;Beji;5;4;105;90;1000000000;Menengah
777;Cimanggis;2;1;36;50;170000000;Sederhana
778;Cimanggis;2;1;54;72;550000000;Sederhana
779;Cimanggis;8;7;700;1350;9000000000;Mewah
780;Sawangan;2;1;40;67;265000000;Sederhana
781;Beji;2;2;70;84;750000000;Menengah
782;Sukmajaya;4;3;250;247;3300000000;Mewah
783;Bojongsari;3;1;300;310;850000000;Mewah
784;Beji;3;2;120;96;1250000000;Menengah
785;Cimanggis;4;2;150;114;850000000;Menengah
786;Pancoran Mas;2;1;36;50;249000000;Sederhana
787;Cinere;3;3;370;351;3400000000;Mewah
788;Cipayung;2;1;40;60;402000000;Sederhana
789;Sawangan;3;3;200;125;900000000;Menengah
790;Pancoran Mas;3;2;100;140;599000000;Menengah
791;Cilodong;3;2;80;102;900000000;Menengah
792;Cilodong;2;1;65;105;625000000;Menengah
793;Sukmajaya;2;1;90;90;450000000;Menengah
794;Sawangan;5;3;270;210;1700000000;Mewah
795;Sawangan;2;1;45;72;350000000;Sederhana
796;Cimanggis;2;1;42;68;479000000;Sederhana
797;Pancoran Mas;6;5;300;334;1900000000;Mewah
798;Cimanggis;7;5;700;980;5500000000;Mewah
799;Cimanggis;3;2;80;37;600000000;Sederhana
800;Bojongsari;2;1;36;70;390000000;Sederhana
801;Cipayung;2;1;30;60;290000000;Sederhana
802;Pancoran Mas;3;3;120;84;980000000;Menengah
803;Bojongsari;2;1;38;90;457000000;Menengah
804;Cimanggis;3;3;105;98;1500000000;Menengah
805;Cimanggis;3;2;136;167;2100000000;Menengah
806;Cilodong;2;1;40;85;580000000;Menengah
807;Cimanggis;2;2;42;78;835000000;Sederhana
808;Pancoran Mas;4;3;96;93;1400000000;Menengah
809;Pancoran Mas;3;2;90;98;864000000;Menengah
810;Cimanggis;2;1;42;63;665696000;Sederhana
811;Cimanggis;3;2;65;94;900000000;Menengah
812;Cinere;4;4;500;300;6500000000;Mewah
813;Sawangan;4;3;125;165;1100000000;Menengah
814;Pancoran Mas;3;3;120;84;980000000;Menengah
815;Sawangan;3;2;80;90;900000000;Menengah
816;Sawangan;3;1;50;65;525000000;Sederhana
817;Cilodong;2;1;50;84;655000000;Menengah
818;Cinere;5;4;260;600;8000000000;Mewah
819;Cinere;2;2;58;60;1077000000;Sederhana
820;Sukmajaya;2;2;70;175;1600000000;Menengah
821;Cimanggis;2;1;42;85;827000000;Menengah
822;Cimanggis;1;2;50;100;895000000;Menengah
823;Cipayung;3;2;50;60;500000000;Sederhana
824;Cinere;3;2;50;60;500000000;Sederhana
825;Bojongsari;3;2;50;60;500000000;Sederhana
826;Sawangan;3;2;60;78;751000000;Sederhana
827;Cimanggis;2;1;36;66;599000000;Sederhana
828;Tapos;3;2;70;67;698000000;Sederhana
829;Cimanggis;2;1;30;72;450000000;Sederhana
830;Sukmajaya;2;1;40;53;395000000;Sederhana
831;Cimanggis;6;5;636;348;6900000000;Mewah
832;Bojongsari;4;3;120;90;879000000;Menengah
833;Bojongsari;2;1;38;85;440000000;Menengah
834;Cipayung;2;1;45;72;500000000;Sederhana
835;Sukmajaya;3;2;65;95;799380000;Menengah
836;Cinere;4;3;79;90;1300000000;Menengah
837;Sukmajaya;2;1;50;65;385000000;Sederhana
838;Sawangan;2;1;42;77;420000000;Sederhana
839;Cinere;6;5;638;304;3000000000;Mewah
840;Pancoran Mas;4;2;140;161;1350000000;Menengah
841;Pancoran Mas;3;2;90;90;1400000000;Menengah
842;Cimanggis;4;3;268;158;2500000000;Menengah
843;Cipayung;4;2;50;60;465000000;Sederhana
844;Cinere;6;5;750;1100;11000000000;Mewah
845;Beji;4;3;95;82;1050000000;Menengah
846;Sawangan;2;1;36;99;577500000;Menengah
847;Sawangan;3;2;69;84;400000000;Menengah
848;Cimanggis;2;1;35;35;150000000;Sederhana
849;Cipayung;2;1;36;50;251000000;Sederhana
850;Cipayung;2;1;45;60;260000000;Sederhana
851;Sawangan;2;1;54;66;295000000;Sederhana
852;Cimanggis;2;1;36;50;240000000;Sederhana
853;Cipayung;2;1;36;50;240000000;Sederhana
854;Beji;3;3;127;112;2200000000;Menengah
855;Sawangan;2;1;42;77;420000000;Sederhana
856;Pancoran Mas;4;6;238;185;2500000000;Menengah
857;Cipayung;2;1;40;40;165000000;Sederhana
858;Cimanggis;2;1;27;34;477800000;Sederhana
859;Bojongsari;3;2;70;72;480000000;Sederhana
860;Cipayung;2;1;35;35;150000000;Sederhana
861;Cinere;3;1;88;72;810000000;Sederhana
862;Cipayung;2;1;36;50;255000000;Sederhana
863;Cilodong;3;2;75;69;750000000;Sederhana
864;Beji;4;3;375;575;4500000000;Mewah
865;Pancoran Mas;2;1;45;60;265000000;Sederhana
866;Beji;2;1;50;77;790000000;Sederhana
867;Cilodong;4;4;247;240;1980000000;Mewah
868;Pancoran Mas;4;2;140;161;1350000000;Menengah
869;Cipayung;2;1;45;60;330000000;Sederhana
870;Cipayung;2;1;48;75;250000000;Sederhana
871;Sawangan;2;1;40;66;295000000;Sederhana
872;Cipayung;2;1;36;50;255000000;Sederhana
873;Sawangan;2;1;36;60;285000000;Sederhana
874;Cimanggis;4;3;268;158;2500000000;Menengah
875;Cimanggis;2;1;56;136;550000000;Menengah
876;Cilodong;2;1;36;85;540500000;Menengah
877;Cimanggis;2;1;36;55;245000000;Sederhana
878;Sawangan;3;1;50;70;285000000;Sederhana
879;Cimanggis;2;1;36;36;140000000;Sederhana
880;Cimanggis;2;1;45;45;172000000;Sederhana
881;Cimanggis;2;1;36;36;140000000;Sederhana
882;Cimanggis;2;1;40;40;145000000;Sederhana
883;Cinere;6;5;750;1100;11000000000;Mewah
884;Cimanggis;2;1;36;84;419200000;Menengah
885;Cipayung;2;1;40;40;165000000;Sederhana
886;Cimanggis;2;1;36;66;374480000;Sederhana
887;Cimanggis;2;1;36;50;252000000;Sederhana
888;Cimanggis;2;1;36;50;255000000;Sederhana
889;Cimanggis;2;1;36;50;292000000;Sederhana
890;Cipayung;2;1;45;60;280000000;Sederhana
891;Cilodong;3;2;80;96;1200000000;Menengah
892;Beji;2;1;36;78;699000000;Sederhana
893;Cilodong;3;2;90;125;675000000;Menengah
894;Cinere;4;4;240;350;2000000000;Mewah
895;Cinere;6;5;320;460;4500000000;Mewah
896;Sawangan;2;1;36;60;497000000;Sederhana
897;Bojongsari;3;2;70;72;480000000;Sederhana
898;Cimanggis;2;1;35;35;150000000;Sederhana
899;Cinere;3;1;88;72;810000000;Sederhana
900;Cimanggis;2;1;36;50;255000000;Sederhana
901;Beji;2;1;50;77;790000000;Sederhana
902;Cilodong;3;2;75;69;750000000;Sederhana
903;Cipayung;2;1;40;40;165000000;Sederhana
904;Beji;4;3;375;575;4500000000;Mewah
905;Cipayung;2;1;36;50;251000000;Sederhana
906;Cipayung;2;1;45;60;260000000;Sederhana
907;Sawangan;2;1;54;66;295000000;Sederhana
908;Beji;3;3;127;112;2200000000;Menengah
909;Cinere;4;3;145;91;3300000000;Menengah
910;Cipayung;2;1;36;60;270000000;Sederhana
911;Sawangan;2;1;40;65;590000000;Sederhana
912;Cipayung;2;1;48;72;450000000;Sederhana
913;Cipayung;2;1;30;35;150000000;Sederhana
914;Cilodong;4;4;247;240;1980000000;Mewah
915;Sawangan;3;2;60;66;677000000;Sederhana
916;Cilodong;3;2;58;54;503000000;Sederhana
917;Sawangan;2;1;36;99;577500000;Menengah
918;Sawangan;3;2;69;84;400000000;Menengah
919;Cimanggis;2;1;36;50;240000000;Sederhana
920;Cimanggis;2;1;27;34;477800000;Sederhana
921;Cimanggis;2;1;35;35;150000000;Sederhana
922;Pancoran Mas;4;6;238;185;2500000000;Menengah
923;Cipayung;2;1;45;60;265000000;Sederhana
924;Cipayung;2;1;36;50;240000000;Sederhana
925;Pancoran Mas;3;2;65;100;700000000;Menengah
926;Cimanggis;3;2;70;99;1258550000;Menengah
927;Pancoran Mas;2;1;42;75;529000000;Sederhana
928;Pancoran Mas;2;1;50;67;600000000;Sederhana
929;Cilodong;2;1;28;61;358900000;Sederhana
930;Tapos;3;3;170;155;2250000000;Menengah
931;Bojongsari;2;1;50;70;480000000;Sederhana
932;Bojongsari;2;1;45;105;510000200;Menengah
933;Sawangan;5;4;400;300;1000000000;Mewah
934;Sawangan;4;3;200;241;2100000000;Mewah
935;Cimanggis;5;2;200;136;1300000000;Menengah
936;Beji;3;3;90;95;1390000000;Menengah
937;Cilodong;5;4;600;548;6000000000;Mewah
938;Cipayung;2;1;45;70;385000000;Sederhana
939;Pancoran Mas;3;4;160;446;3000000000;Mewah
940;Cimanggis;3;2;66;89;899000000;Menengah
941;Cimanggis;3;2;66;104;959000000;Menengah
942;Cimanggis;3;2;66;96;911000000;Menengah
943;Cimanggis;3;2;66;92;917000000;Menengah
944;Pancoran Mas;3;2;117;120;1550000000;Menengah
945;Cimanggis;3;2;110;81;790000000;Menengah
946;Bojongsari;2;1;40;84;626000000;Menengah
947;Bojongsari;3;2;60;72;1060000000;Sederhana
948;Cilodong;3;2;90;125;675000000;Menengah
949;Cimanggis;3;2;136;167;2100000000;Menengah
950;Cimanggis;3;3;120;100;1800000000;Menengah
951;Cimanggis;3;3;250;135;2795000000;Menengah
952;Cimanggis;4;3;120;150;1275000000;Menengah
953;Cimanggis;2;2;55;40;585000000;Sederhana
954;Cimanggis;4;2;160;165;1700000000;Menengah
955;Cimanggis;2;1;36;80;582000000;Menengah
956;Cilodong;2;1;36;65;325000000;Sederhana
957;Cimanggis;2;1;42;0;697980000;Sederhana
958;Cimanggis;3;2;69;78;888000000;Sederhana
959;Cimanggis;2;1;45;102;613500000;Menengah
960;Beji;2;1;45;70;660000000;Sederhana
961;Cilodong;2;1;36;65;325000000;Sederhana
962;Cimanggis;2;1;42;0;697980000;Sederhana
963;Cimanggis;3;2;69;78;888000000;Sederhana
964;Cinere;3;2;150;120;1837000000;Menengah
965;Cipayung;2;1;30;42;273000000;Sederhana
966;Cilodong;2;1;36;61;358080000;Sederhana
967;Cilodong;3;2;81;81;785750000;Menengah
968;Cipayung;2;1;36;60;435000000;Sederhana
969;Cilodong;2;1;45;78;615000000;Sederhana
970;Cimanggis;3;2;61;68;816000000;Sederhana
971;Pancoran Mas;3;2;70;88;868200000;Menengah
972;Cimanggis;2;1;38;78;925000000;Sederhana
973;Beji;2;2;70;60;895000000;Sederhana
974;Cinere;5;4;260;600;8000000000;Mewah
975;Pancoran Mas;2;2;50;76;735000000;Sederhana
976;Pancoran Mas;3;2;63;90;998000000;Menengah
977;Cimanggis;2;1;36;12;254000000;Sederhana
978;Tapos;3;2;90;102;1050000000;Menengah
979;Cilodong;2;1;36;61;501800000;Sederhana
980;Cilodong;2;1;55;64;620400000;Sederhana
981;Cilodong;2;1;50;82;620000000;Menengah
982;Cilodong;2;1;25;53;228000000;Sederhana
983;Pancoran Mas;2;1;40;40;180000000;Sederhana
984;Cipayung;2;1;36;54;285000000;Sederhana
985;Cilodong;2;2;70;90;655000000;Menengah
986;Bojongsari;2;1;33;50;295000000;Sederhana
987;Cilodong;3;2;75;69;750000000;Sederhana
988;Cipayung;2;1;40;40;165000000;Sederhana
989;Cilodong;2;1;50;79;550000000;Sederhana
990;Cilodong;3;3;220;135;2900000000;Menengah
991;Cilodong;2;1;36;61;501800000;Sederhana
992;Cipayung;2;1;25;53;228000000;Sederhana
993;Cipayung;2;1;36;50;265000000;Sederhana
994;Pancoran Mas;2;1;45;72;570000000;Sederhana
995;Cipayung;2;1;40;40;150000000;Sederhana
996;Cipayung;2;1;40;65;286000000;Sederhana
997;Beji;3;2;450;3500;13000000000;Mewah
998;Cilodong;2;1;30;41;399000000;Sederhana
999;Cimanggis;2;1;50;94;379000000;Menengah
1000;Cilodong;2;1;36;66;435000000;Sederhana
1001;Cilodong;2;1;36;61;501800000;Sederhana
1002;Cimanggis;2;1;40;40;145000000;Sederhana
1003;Pancoran Mas;2;4;65;23;555000000;Sederhana
1004;Bojongsari;2;1;33;50;295000000;Sederhana
1005;Cimanggis;2;1;36;84;419200000;Menengah
1006;Cilodong;2;1;36;66;435000000;Sederhana
1007;Beji;4;2;150;150;2250000000;Menengah
1008;Cilodong;3;2;75;69;750000000;Sederhana
1009;Cipayung;2;1;40;40;165000000;Sederhana
1010;Sawangan;3;3;60;48;800000000;Sederhana
1011;Cimanggis;2;2;50;56;608000000;Sederhana
1012;Cinere;3;2;250;344;2500000000;Mewah
1013;Cimanggis;4;3;250;250;1600000000;Mewah
1014;Cipayung;2;1;36;66;375000000;Sederhana
1015;Pancoran Mas;3;3;90;115;1594000000;Menengah
1016;Cimanggis;2;1;36;12;254000000;Sederhana
1017;Pancoran Mas;2;2;50;76;735000000;Sederhana
1018;Pancoran Mas;3;2;63;90;998000000;Menengah
1019;Tapos;3;2;90;102;1050000000;Menengah
1020;Cilodong;3;3;220;135;2900000000;Menengah
1021;Cipayung;2;1;45;61;295000000;Sederhana
1022;Cimanggis;2;1;36;50;254000000;Sederhana
1023;Cimanggis;2;1;36;50;200000000;Sederhana
1024;Sawangan;2;1;36;50;215000000;Sederhana
1025;Cimanggis;2;1;36;143;506090000;Menengah
1026;Cipayung;2;1;36;36;135000000;Sederhana
1027;Cipayung;2;1;36;54;280000000;Sederhana
1028;Cimanggis;2;1;36;50;245000000;Sederhana
1029;Pancoran Mas;3;2;64;100;450000000;Menengah
1030;Cimanggis;2;1;35;40;149000000;Sederhana
1031;Beji;2;1;35;35;150000000;Sederhana
1032;Cipayung;2;1;36;50;250000000;Sederhana
1033;Cipayung;2;1;33;33;125000000;Sederhana
1034;Sukmajaya;5;4;400;324;4750000000;Mewah
1035;Sawangan;2;1;30;63;298000000;Sederhana
1036;Cimanggis;2;2;50;56;608000000;Sederhana
1037;Cilodong;2;1;30;41;399000000;Sederhana
1038;Beji;3;2;450;3500;13000000000;Mewah
1039;Cilodong;2;1;36;66;435000000;Sederhana
1040;Cilodong;2;1;36;61;501800000;Sederhana
1041;Pancoran Mas;2;4;65;23;555000000;Sederhana
1042;Cimanggis;2;1;40;40;145000000;Sederhana
1043;Cinere;3;2;250;344;2500000000;Mewah
1044;Sawangan;3;3;60;48;800000000;Sederhana
1045;Cinere;3;3;190;244;4800000000;Mewah
1046;Pancoran Mas;6;6;350;250;2900000000;Mewah
1047;Cinere;4;3;80;90;1350000000;Menengah
1048;Cipayung;2;1;30;42;273000000;Sederhana
1049;Cilodong;2;1;45;78;615000000;Sederhana
1050;Pancoran Mas;4;2;150;150;595000000;Menengah
1051;Cilodong;2;1;45;72;425000000;Sederhana
1052;Pancoran Mas;5;3;200;126;2500000000;Menengah
1053;Pancoran Mas;3;2;135;225;1800000000;Mewah
1054;Cimanggis;3;2;110;72;800000000;Sederhana
1055;Cimanggis;4;3;117;120;1550000000;Menengah
1056;Pancoran Mas;6;4;180;180;2400000000;Menengah
1057;Cimanggis;3;2;160;215;2750000000;Mewah
1058;Cimanggis;3;2;105;98;1080000000;Menengah
1059;Cimanggis;5;2;200;134;1300000000;Menengah
1060;Cimanggis;5;2;200;127;1300000000;Menengah
1061;Beji;4;4;110;89;1300000000;Menengah
1062;Cipayung;2;2;46;37;484000000;Sederhana
1063;Pancoran Mas;3;2;85;83;980000000;Menengah
1064;Pancoran Mas;3;3;87;144;1350000000;Menengah
1065;Cimanggis;6;4;180;180;2400000000;Menengah
1066;Bojongsari;2;1;42;77;475000000;Sederhana
1067;Cimanggis;3;2;66;86;881000000;Menengah
1068;Pancoran Mas;3;2;200;115;1800000000;Menengah
1069;Cimanggis;3;3;250;135;2795000000;Menengah
1070;Cimanggis;3;3;120;100;1800000000;Menengah
1071;Cimanggis;3;2;69;81;976000000;Menengah
1072;Bojongsari;2;1;36;50;345000000;Sederhana
1073;Cimanggis;3;2;135;104;1600000000;Menengah
1074;Cimanggis;3;3;160;204;3400000000;Mewah
1075;Cimanggis;2;2;42;72;835000000;Sederhana
1076;Pancoran Mas;3;2;125;95;1600000000;Menengah
1077;Cimanggis;3;4;180;119;2100000000;Menengah
1078;Sawangan;0;0;36;81;510000000;Menengah
1079;Cilodong;3;2;68;85;800000000;Menengah
1080;Cibubur;3;2;115;96;1400000000;Menengah
1081;Cimanggis;3;2;200;165;1900000000;Menengah
1082;Pancoran Mas;4;4;125;128;1600000000;Menengah
1083;Cimanggis;3;1;69;82;832150000;Menengah
1084;Cilodong;2;1;33;67;498000000;Sederhana
1085;Sawangan;2;1;36;61;430000000;Sederhana
1086;Cimanggis;2;1;42;72;676752000;Sederhana
1087;Cimanggis;3;2;90;90;1338000000;Menengah
1088;Cilodong;3;2;81;81;785750000;Menengah
1089;Cilodong;2;1;36;60;385000000;Sederhana
1090;Pancoran Mas;3;2;85;83;980000000;Menengah
1091;Cilodong;2;1;45;62;430000000;Sederhana
1092;Cimanggis;2;2;65;78;985000000;Sederhana
1093;Cimanggis;3;2;66;84;839000000;Menengah
1094;Cimanggis;3;3;122;105;1750000000;Menengah
1095;Sawangan;2;1;36;92;478000000;Menengah
1096;Cimanggis;3;2;69;165;1250000000;Menengah
1097;Pancoran Mas;2;4;65;23;555000000;Sederhana
1098;Sawangan;2;1;36;81;395000000;Menengah
1099;Beji;2;1;45;72;750000000;Sederhana
1100;Cilodong;2;1;45;78;615000000;Sederhana
1101;Pancoran Mas;2;1;40;63;495000000;Sederhana
1102;Cipayung;2;1;50;72;410000000;Sederhana
1103;Bojongsari;2;1;54;160;1132212000;Menengah
1104;Cimanggis;4;4;410;400;6500000000;Mewah
1105;Cimanggis;4;4;222;160;2800000000;Menengah
1106;Beji;3;3;110;75;1040000000;Sederhana
1107;Cinere;2;3;71;76;1200000000;Sederhana
1108;Cinere;3;2;120;104;1800000000;Menengah
1109;Bojongsari;2;2;85;112;600000000;Menengah
1110;Tapos;2;1;42;70;675000000;Sederhana
1111;Tapos;2;1;42;70;675000000;Sederhana
1112;Pancoran Mas;6;6;350;250;2900000000;Mewah
1113;Pancoran Mas;6;3;120;169;1200000000;Menengah
1114;Pancoran Mas;2;2;50;76;735000000;Sederhana
1115;Cimanggis;5;1;224;245;2200000000;Mewah
1116;Cimanggis;3;4;185;300;2000000000;Mewah
1117;Limo;3;2;50;60;500000000;Sederhana
1118;Sawangan;2;1;40;65;595000000;Sederhana
1119;Beji;2;1;55;132;879000000;Menengah
1120;Sawangan;3;3;115;70;955000000;Sederhana
1121;Sawangan;2;1;36;74;400000000;Sederhana
1122;Sawangan;2;1;36;81;430200000;Menengah
1123;Cinere;3;3;140;250;1800000000;Mewah
1124;Cipayung;2;0;110;64;375000000;Sederhana
1125;Cipayung;3;3;250;1330;1800000000;Mewah
1126;Pancoran Mas;2;1;36;61;375000000;Sederhana
1127;Sawangan;53;2;72;53;530000000;Sederhana
1128;Cimanggis;3;2;85;49;632000000;Sederhana
1129;Cimanggis;2;1;36;60;550000000;Sederhana
1130;Sawangan;2;1;40;72;400000000;Sederhana
1131;Cinere;2;2;58;60;1077000000;Sederhana
1132;Sawangan;2;1;36;60;250000000;Sederhana
1133;Sawangan;3;2;160;218;700000000;Mewah
1134;Sawangan;2;1;45;65;250000000;Sederhana
1135;Cimanggis;3;3;180;200;3100000000;Menengah
1136;Pancoran Mas;3;3;116;228;1500000000;Mewah
1137;Cilodong;4;6;350;257;1400000000;Mewah
1138;Sukmajaya;2;2;50;86;710000000;Menengah
1139;Cipayung;3;2;73;60;1350000000;Sederhana
1140;Cipayung;2;1;54;75;485000000;Sederhana
1141;Cipayung;2;1;38;40;135000000;Sederhana
1142;Cipayung;2;1;54;75;485000000;Sederhana
